target,model_id,full_model_name,result_class,cv_rank,public_rank,private_rank,public_minus_cv_rank,private_minus_cv_rank,public_private_rank_gap,cv_worst_mae,public_mae,private_mae
TmApp,TM_BASE_MPNN__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + ProteinMPNN sequence–structure compatibility native-score descriptors with RIDGE",FEATURE_LINEAR,6.0,18.0,39.0,12.0,33.0,-21.0,2.878130055093428,3.255680141998243,3.4447572323707307
HIC,HIC__ESMFold__STRUCT_SURFACE_ALL__RidgeOpt__HIST,HIC / ESMFold / STRUCT_SURFACE_ALL / RidgeOpt,HISTORICAL_LINEAR_OTHER,,31.0,6.0,,,25.0,,0.5166077123854826,0.44288511320064
TmApp,TM_BASE_BIOEMU_MPNN__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors with LASSO",FEATURE_LINEAR,5.0,6.0,27.0,1.0,22.0,-21.0,2.875164722539417,3.215082849230016,3.3020522485399617
TmApp,TmApp__META_diversity__quantile_0.0__HIST,prediction-level meta-learner (quantile_0.0) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,32.0,8.0,,,24.0,,3.345595945037222,3.15007534338225
TmApp,TM_FENNIX_CONTEXT__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + FeNNix full-Fab combined predeclared energy/geometry context descriptors with LASSO",FEATURE_LINEAR,14.0,23.0,36.0,9.0,22.0,-13.0,3.006763522332028,3.3123885388133885,3.392162977235429
HIC,HIC_ARO_CONTINUOUS_SURFACE__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + continuous molecular-surface hydrophobic/chemical descriptors (ESMFold Fv) with LASSO,FEATURE_LINEAR,3.0,12.0,18.0,9.0,15.0,-6.0,0.4898232886862832,0.4799310265774686,0.4757443667060864
TmApp,TM_ABLANG2__RIDGE,AbLang2 paired heavy+light chain protein-language-model embedding with RIDGE,FEATURE_LINEAR,15.0,42.0,32.0,27.0,17.0,10.0,3.110806888449107,3.492876502460081,3.3535816801683733
TmApp,TmApp__META_diversity__quantile_0.01__HIST,prediction-level meta-learner (quantile_0.01) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,35.0,2.0,,,33.0,,3.345595945037222,3.15007534338225
TmApp,TM_BASE_BIOEMU_MPNN__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors + ProteinMPNN sequence–structure compatibility native-score descriptors with RIDGE",FEATURE_LINEAR,3.0,4.0,38.0,1.0,35.0,-34.0,2.845936772811553,3.1199439738928896,3.432660341190389
HIC,HIC_AROMATIC__RIDGE,AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) with RIDGE,FEATURE_LINEAR,12.0,19.0,9.0,7.0,-3.0,10.0,0.5327520861649826,0.4914562753657208,0.4533861022151522
HIC,HIC_HYDRO_TITRATION__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + HYDRO_FIELD continuous hydrophobic-field surface descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,FEATURE_LINEAR,1.0,10.0,13.0,9.0,12.0,-3.0,0.4872225781431885,0.4702379457310565,0.4641712708181718
TmApp,TmApp__META_diversity__nnls__HIST,prediction-level meta-learner (nnls) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,31.0,6.0,,,25.0,,3.345595945037222,3.15007534338225
HIC,HIC__SIMPLE_blend_esm2_surf__HIST,Equal-mean prediction blend of: ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,3.0,1.0,,,2.0,,0.4237480344059232,0.4180226409189143
TmApp,TmApp__META_performance__nnls_norm__HIST,prediction-level meta-learner (nnls_norm) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,PREDICTION_LINEAR_BLEND,,13.0,21.0,,,-8.0,,3.2306885841030826,3.211552262966718
HIC,HIC__SIMPLE_blend_seq_surf__HIST,Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,1.0,3.0,,,-2.0,0.4328749669956691,0.4148392100594437,0.4318145768709808
TmApp,TmApp__META_diversity__quantile_0.001__HIST,prediction-level meta-learner (quantile_0.001) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,36.0,1.0,,,35.0,,3.345595945037222,3.15007534338225
HIC,HIC_SEQ__RIDGE,stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) with RIDGE,FEATURE_LINEAR,10.0,64.0,60.0,54.0,50.0,4.0,0.5294019506021663,0.573304245586205,0.5616270776725183
HIC,HIC_CONSTANT__RIDGE,no input features (fold-local median baseline) with RIDGE,FEATURE_LINEAR,8.0,44.0,39.0,36.0,31.0,5.0,0.5181666666666666,0.5348641975308641,0.5100864197530864
HIC,HIC_ARO_TITRATION__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,FEATURE_LINEAR,2.0,14.0,19.0,12.0,17.0,-5.0,0.4893879340185224,0.4799350305277475,0.4757445162156721
TmApp,TmApp__META_diversity__nnls_norm__HIST,prediction-level meta-learner (nnls_norm) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,37.0,7.0,,,30.0,,3.345595945037222,3.15007534338225
TmApp,TM_ABLANG2_SEQ__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with RIDGE",FEATURE_LINEAR,8.0,21.0,41.0,13.0,33.0,-20.0,2.8973641403873263,3.266464055413186,3.5000584900344416
TmApp,TM_OPENMM_DOMAIN_FLEX__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + OpenMM Fab MD DOMAIN_FLEXIBILITY descriptors (VH/VL/CH1/CL RMSF) with RIDGE",FEATURE_LINEAR,9.0,,,,,,2.897762804526902,,
HIC,HIC__META_performance__ridge_0.1__HIST,prediction-level meta-learner (ridge_0.1) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,6.0,16.0,,,-10.0,,0.4408757532713614,0.4710210242653874
HIC,HIC_ARO_CONT_TITR__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) + continuous molecular-surface hydrophobic/chemical descriptors (ESMFold Fv) + TITRATION_SHAPE electrostatic titration-shape descriptors (ESMFold Fv) with LASSO,FEATURE_LINEAR,4.0,13.0,17.0,9.0,13.0,-4.0,0.4912372446404668,0.4799310265774686,0.4757443667060864
TmApp,TM_BASE_MPNN__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + ProteinMPNN sequence–structure compatibility native-score descriptors with LASSO",FEATURE_LINEAR,10.0,28.0,34.0,18.0,24.0,-6.0,2.951121476968849,3.336363199164652,3.372657686296628
TmApp,TmApp__META_diversity__quantile_0.1__HIST,prediction-level meta-learner (quantile_0.1) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,30.0,3.0,,,27.0,,3.345595945037222,3.15007534338225
TmApp,TmApp__META_diversity__ridge_100.0__HIST,prediction-level meta-learner (ridge_100.0) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,34.0,4.0,,,30.0,,3.345595945037222,3.15007534338225
TmApp,TM_ABLANG2_SEQ__LASSO,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) with LASSO",FEATURE_LINEAR,11.0,38.0,37.0,27.0,26.0,1.0,2.974840698625565,3.350227322456886,3.4097053671679234
TmApp,TmApp__META_performance__convex_mae__HIST,prediction-level meta-learner (convex_mae) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,PREDICTION_LINEAR_BLEND,,8.0,16.0,,,-8.0,,3.2306885841030826,3.211552262966718
HIC,HIC__ADV_SURFACE_PATCH__RidgeOpt__HIST,HIC / ADV_SURFACE_PATCH / RidgeOpt,HISTORICAL_LINEAR_OTHER,,18.0,5.0,,,13.0,0.5141865101906903,0.4895884475554022,0.4414819401108522
HIC,HIC_ESM2_SEQ__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) with LASSO,FEATURE_LINEAR,6.0,41.0,43.0,35.0,37.0,-2.0,0.5141703750172416,0.520644653912147,0.5127260092304973
HIC,HIC_CONSTANT__LASSO,no input features (fold-local median baseline) with LASSO,FEATURE_LINEAR,9.0,45.0,40.0,36.0,31.0,5.0,0.5181666666666666,0.5348641975308641,0.5100864197530864
HIC,HIC__META_diversity__ridge_1.0__HIST,prediction-level meta-learner (ridge_1.0) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,7.0,7.0,,,0.0,,0.4413297828399947,0.4486261442719902
TmApp,TM_FENNIX_CONTEXT__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + FeNNix full-Fab combined predeclared energy/geometry context descriptors with RIDGE",FEATURE_LINEAR,12.0,22.0,45.0,10.0,33.0,-23.0,2.9921885756303706,3.26851749070895,3.6153511447636704
TmApp,TM_BASE_BIOEMU__RIDGE,"AbLang2 paired heavy+light chain protein-language-model embedding + stage-1 SEQ_BASIC sequence descriptors (length, composition, CDR length summaries) + BioEmu isolated VH/VL NEW_PAIRWISE ensemble pairwise C-alpha RMSD descriptors with RIDGE",FEATURE_LINEAR,4.0,5.0,40.0,1.0,36.0,-35.0,2.864447740706632,3.1348956756048434,3.482911833404577
TmApp,TmApp__META_diversity__convex_mae__HIST,prediction-level meta-learner (convex_mae) over out-of-fold base predictions: stage-1 SEQ_BASIC sequence descriptors under support-vector regression (SVROpt); AbLang2 paired heavy+light chain protein-language-model embedding under RidgeOpt without PCA; ESMFold STRUCT_RASA relative solvent-accessibility structure descriptors under ElasticNetOpt; Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,33.0,5.0,,,28.0,,3.345595945037222,3.15007534338225
HIC,HIC_ESM2_H__LASSO,ESM-2 Heavy-chain protein-language-model embedding with LASSO,FEATURE_LINEAR,7.0,43.0,44.0,36.0,37.0,-1.0,0.5144546157057649,0.5302534821978132,0.5169309822146028
HIC,HIC__SIMPLE_blend_seq_surf_adv__HIST,Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,2.0,2.0,,,0.0,0.4320764671385887,0.4204394325858053,0.4239298110263242
HIC,HIC__META_performance__ridge_1.0__HIST,prediction-level meta-learner (ridge_1.0) over out-of-fold base predictions: Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt); HIC / FUSION_OVERALL / ESMFold / STRUCT_SURFACE_ALL / SVROpt; fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,5.0,14.0,,,-9.0,,0.4353639440997759,0.4667721379568801
TmApp,TmApp__ablang2__HL__RidgeOpt__HIST,Historical Stage-2 AbLang2 heavy+light protein-language-model embedding only (no SEQ_BASIC / BioEmu / ProteinMPNN / AbLingua blocks) under Optuna-tuned Ridge (alpha≈78.35145884661983),HISTORICAL_LINEAR_OTHER,,1.0,10.0,,,-9.0,3.030556011199951,3.0853249349711853,3.159989439410928
TmApp,TmApp__META_performance__nnls__HIST,prediction-level meta-learner (nnls) over out-of-fold base predictions: Stage-3 incremental fusion ADV_INTERACTIONS descriptors under support-vector regression (SVROpt); TmApp / FUSION_OVERALL / ESMFold / STRUCT_RASA / SVROpt; TmApp / FUSION / ablang2 / HL_paired / SEQ_BASIC / SVROpt; TmApp / ADV_TMAPP_ALL / SVROpt,PREDICTION_LINEAR_BLEND,,15.0,22.0,,,-7.0,,3.2306885841030826,3.211552262966718
HIC,HIC__META_diversity__ridge_0.1__HIST,prediction-level meta-learner (ridge_0.1) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),PREDICTION_LINEAR_BLEND,,9.0,10.0,,,-1.0,,0.4441895843210703,0.4556701654233223
HIC,HIC_ESM2_SEQ_AROMATIC__LASSO,ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors (expanded antibody sequence descriptor set) + AROMATIC-TOPO exposed-aromatic structural topology descriptors (ESMFold Fv) with LASSO,FEATURE_LINEAR,5.0,15.0,20.0,10.0,15.0,-5.0,0.4927303900206625,0.4799350305277475,0.4757445162156721
