claim,evidence_tier,supporting_experiments,contradicting_experiments,evaluation_protocol,pre_or_post_external,source_paths,notes
HSP BM-R5 / EIS-R8 additive over SURFACE are mainline-supported,Tier2_Supported,"EXP-H102–H113 esp H107,H109",FP not confirmed; bootstrap CIs often include 0,dl_foldlocal_cosine_v3,Confirmatory after atlas (post feature research),developability_drilldown/results/HIC_HSP_MAINLINE_REPORT.md; feature_research/hic_spatial_hydrophobicity/results/PROMOTION_RECOMMENDATION.md; commit 9625151f,H107 Overall 0.393619; do not REPLACE SURFACE
Exposed aromatic geometry adds predictive signal beyond sequence Y/W/F composition counts,Tier2_Supported,AROMATIC-TOPO; SIGNAL_SOURCE_AUDIT,vs Round1 surface: NO_INCREMENT / PROMISING_BUT_REDUNDANT,organizer feature prospecting; post-competition diagnostic,Post-Public/Private (POST_COMPETITION_DIAGNOSTIC),organizer_extension/feature_prospecting/SIGNAL_SOURCE_AUDIT/SIGNAL_SOURCE_AUDIT_JA.md; organizer_extension/feature_prospecting/AROMATIC-TOPO/REPORT_JA.md; commit efc1e17f,Label GEOMETRY_ADDS_SIGNAL; NOT causal claim that 3D aromaticity causes HIC
ESMFN_Fv_sasa_aromatic associates with HIGH-HIC (Spearman 0.426; Cliffs δ 0.705),Tier2_Supported,GATE-B6.4 structure mechanism,,CAND_12528; HIGH n=13 vs nonHIGH,Diagnostic on incumbent split,gate_b6_4_hic_high_tail/reports/03_high_hic_structure_mechanism.md,Association on small HIGH set; not proven causal
Classical H047 SVR (hydro + ESM2_RASA_CDR3) is strong classical champion Overall≈0.427,Tier2_Supported,EXP-H047,bootstrap vs H021 CI includes 0,canonical_simple_tvt_primary_shadow,Internal+external scores in registry,developability_drilldown/results/HIC_CLASSICAL_REFINEMENT.md; experiments.csv,Not protocol-equivalent to V3 Overall
STATIC_SAP_KD antibody-level late fusion is NOT_SUPPORTED vs SURFACE,Tier1_Established,EXP-H094–H101,,V3,Pre-external freeze then report,developability_drilldown/results/HIC_STATIC_SAP_KD_REPORT.md; commit 076c03f7,Does not negate all SAP-like spatial descriptors (HSP separate)
SOURCE24 Transformer fusion and SOURCE_SAP24 XGB are NOT_SUPPORTED / no_reproduce,Tier1_Established,EXP-H114–H127,,V3 / V3_xgb,Batch reports,HIC_SOURCE24_TRANSFORMER_FUSION_REPORT.md; HIC_SOURCE_SAP24_XGBOOST_REPORT.md,CASE_C_no_reproduce_0.46 for XGB
Residue-level F1 SURFACE fusion does not beat antibody-level F1 late fusion,Tier1_Established,EXP-H128–H133,,V3,Batch,HIC_RESIDUE_F1_SURFACE_FUSION_REPORT.md; commit ed6bdbc1,CASE G
More complex global F1 conditioning (FiLM/gate/token-attn) is not justified over late fusion,Tier2_Supported,EXP-H134–H139,H137 strong external Overall 0.3907 but worse TEST_mean vs F1 hist,V3,Batch CASE D,HIC_GLOBAL_F1_SURFACE_CONDITIONING_REPORT.md; commit 58a0e543,Do not run H140; external cherry-picking risk
"On CAND_12528, Public is at least as reliable as CV when they disagree (Trust-CV not demonstrated)",Tier2_Supported,GATE-B7.1,,CAND_12528 Trust-CV stress,Uses Public/Private,gate_b7_1_trust_cv/reports/GATE_B7_1_TRUST_CV_FINAL.md,TrustCV_rate 0.133; split-specific
Virtual competition: limited Public overfitting on CAND_12528; overall MAE gains do not fix HIGH-tail,Tier2_Supported,GATE-B7-VC,,CAND_12528 virtual competition,Live Public then Private reveal,gate_b7_virtual_competition/reports/GATE_B7_VIRTUAL_COMPETITION_FINAL.md,Persona C Private 0.4437
Organizer BEST_CV ≈ cross-family equal-mean worst≈0.435; stacking skipped for fold mismatch,Tier2_Supported,ORG-CROSSFAM-EQUALMEAN,,competition GEN_0001; postmortem Pub/Priv,Post-competition organizer,top_models_feature_bundle/results/cross_family_ensemble/; HIC__STACKING_SKIP.md,Pub/Priv postmortem only for selection narrative
Generic hydrophobicity fields / STATIC-SAP / COPATCH / OpenMM dynamic aromatic SASA do not increment beyond Round1 surface,Tier2_Supported,Physical Batch1; Advanced Batch2; OpenMM,,organizer feature prospecting post-reveal,Post-Public/Private,"organizer_extension/feature_prospecting/; commits c98cf872,6e727c40,3136d09e",Supports specificity of aromatic-local signal vs generic hydro
TmApp Representation×Topology×Annotation factorial has NOT been run for HIC,Tier1_Established,none (absence),,N/A,N/A,developability_drilldown/technical_report/tmapp_factorial/; EXPERIMENT_CODES.csv ends H139; TMAPP hard STOP no HIC,HIC V3 annotation FULL only; AbLang2 factorial absent
High-HIC learnability is fundamentally limited by n≈13 HIGH samples,Tier2_Supported,GATE-B6.4,,CAND_12528,Diagnostic,gate_b6_4_hic_high_tail/reports/GATE_B6_4_FINAL.md,HIC_VALID_BUT_DATA_LIMITED_COMPETITION_TARGET
Exposed aromatic surface is the causal biophysical driver of HIC retention,Tier4_Unresolved_contradictory,associative evidence only,explicit non-causal wording in SIGNAL_SOURCE_AUDIT,post-hoc diagnostics,Post-competition,SIGNAL_SOURCE_AUDIT_JA.md,NOT claimed by repository; associative/geometry-adds-signal only
Which PLM is best for HIC (AbLang2 vs ESM2 vs CurrAb factorial),Tier4_Unresolved_contradictory,,,not run for HIC,N/A,TMAPP factorial is TmApp-only,Unresolved by absence of HIC factorial
Whether local aromatic patches beat global aromatic SASA for predictive HIC,Tier3_Suggestive,B6.4 structure; AROMATIC-TOPO patch features; HSP atlas,residue F1 failed vs Ab-level,mixed,mixed,gate_b6_4; AROMATIC-TOPO; HSP atlas; H128-H133,Patch features exist; residue injection failed; Ab-level SURFACE still wins
VH vs VL dominance for HIC,Tier3_Suggestive,B6.4 VH hydrophobic SASA Cliffs>VL; Phase2A H-only models,,mixed small-n,mixed,gate_b6_4_hic_high_tail/reports/03_high_hic_structure_mechanism.md; EXP-H024–H033,Suggestive VH/CDRH3 enrichment; not factorial-resolved
H137 FiLM external Overall 0.3907 is a confirmed architecture advance,Tier3_Suggestive,EXP-H137,CASE D: worse TEST_mean vs hist F1; do not run H140,V3,External reported after internal,HIC_GLOBAL_F1_SURFACE_CONDITIONING_REPORT.md,Post-hoc external interest; internal selection would not pick it over F1 late fusion
